voronoi_avg_katz_centrality,transError.std.mean
0.00263691501963,0.79363175
0.00414675006167,0.9712675
0.00687453878969,0.660006
0.0132370052728,0.553814
0.000254586441506,0.679647
0.00249469745735,0.695845
0.00349157537483,0.6465805
0.00819877290375,0.64506525
0.00368457372095,8.99611
0.00593057110261,11.1858156667
0.00183923477374,4.032134
0.00276541182543,0.868578333333
0.00195573996648,0.980527
0.00819487385135,0.931125666667
0.061080293104,0.68123
0.021034321157,0.7183785
0.00770788343339,1.188382
0.000985497287792,1.285796
0.00541741932639,1.247364
0.00473407332978,2.102963
0.0107227141849,1.003049
0.00470260844059,1.010814
0.00337661950533,1.3055026
0.00522130790338,13.7854806667
0.00394697265736,8.904198
0.0115555452936,5.65513066667
0.00620759969978,1.8947556
0.00237931914125,2.71848344444
0.00425521588337,1.921542
0.00165416922011,2.705434
0.00454144763295,28.104709
0.00305737359108,2.8970098
0.000464141250352,11.9478155
0.0118453240216,4.520748
0.00183164127162,9.020481
0.000137398924846,2.112467
0.0125305043955,1.77265025

5-Fold RMSE:,5.14344164774,9.48624084123,3.14515146267,3.28257073765,3.28257073765
Average 5-Fold RMSE:,4.92618770954

5-Fold rsquared:,-8.16939292205,-76.5380334072,0.0366663670229,-0.62665279204,-0.62665279204
Average 5-Fold rsquared:,-17.0695083055
