avgRoomWallRatio,rotError.std.mean
28.751717776,0.02798225
137.556377369,0.0320445
52.1209436869,0.0178372
11.0567143812,0.0199945
25.0965042526,0.021598
5.11370107056,0.036893
5.20722404423,0.0359985
16.4235744233,0.01772125
23.8346876138,0.5246775
20.8609685098,0.385748
5.36699093475,0.088337
6.82477892286,0.0298306666667
8.06038669655,0.022416
29.1017856064,0.014809
112.186234652,0.008167
9.94474092631,0.012435
20.3487250038,0.0413675
32.0558355679,0.02285
5.66003775883,0.028219
41.7117577663,0.122708
4.15960998171,0.020269
257.915562133,0.023071
18.4384227154,0.0556182
78.8607355756,0.805028666667
17.0310324486,0.736744
5.20590608492,0.348673666667
15.5899748781,0.0636326
9.40155834329,0.0959848888889
5.76789137536,0.3574515
32.8475094999,0.047268
21.165267296,0.997592
12.5838625992,0.0586724
31.9225066807,0.546293
20.6470540419,0.668596
94.0246719844,0.147273
74.578108553,0.059187
42.725871617,0.033395

5-Fold RMSE:,0.168436167648,0.391371631587,0.201101198712,0.168455791196,0.168455791196
Average 5-Fold RMSE:,0.258428230862

5-Fold rsquared:,-1.00860111419,-2.88177585998,-71.9979885673,-0.399981244847,-0.399981244847
Average 5-Fold rsquared:,-15.2844928633
