topology_avg_betweenness_centrality,transError.numSamples.mean
0.0803776683087,8627.0
0.0786962365591,15695.5
0.103887168903,6140.2
0.0693346508564,4242.0
0.0506568144499,6332.5
0.052380952381,6329.0
0.0603415047795,5863.0
0.0746474028208,6086.75
0.0884711779449,357218.5
0.0886956521739,830942.333333
0.0721368092692,36389.0
0.0755793226381,15490.3333333
0.0651387827858,13796.0
0.125438596491,12714.3333333
0.115927072583,7331.0
0.0835913312693,7723.5
0.0716403162055,25949.5
0.106554677207,22338.0
0.0501145912911,24431.0
0.0622358034123,59670.0
0.0430054476308,13573.5
0.0555829228243,22022.0
0.071322537112,32607.8
0.333333333333,437301.0
0.141391941392,151082.0
0.0809941520468,114100.666667
0.0462820512821,35666.8
0.0346271236799,122499.666667
0.0447939150992,19129.5
0.11405985319,110106.5
0.0939031339031,1804313.0
0.0726480836237,225133.0
0.0512077294686,531998.0
0.0990196078431,242087.0
0.0677298311445,311884.0
0.0483073539657,65744.0
0.0855072463768,57460.5

5-Fold RMSE:,603621.490468,148973.831236,149516.10477,280061.267023,280061.267023
Average 5-Fold RMSE:,274598.725975

5-Fold rsquared:,0.137339415843,-3.10785170048,0.0465091194431,-0.0931303206498,-0.0931303206498
Average 5-Fold rsquared:,-0.62791410689
