roomPerimeter,transError.numSamples.mean
824.277775057,8627.0
909.128599512,15695.5
883.283838598,6140.2
602.61103687,4242.0
651.012500721,6332.5
1075.51367261,6329.0
537.162909983,5863.0
343.406315926,6086.75
655.096395443,357218.5
864.15979835,830942.333333
470.629120514,36389.0
551.429068269,15490.3333333
837.315270419,13796.0
846.661098224,12714.3333333
865.683726415,7331.0
349.485622363,7723.5
900.193877884,25949.5
688.861804167,22338.0
533.159488544,24431.0
1023.76949412,59670.0
501.062394277,13573.5
1357.05101607,22022.0
1113.23214774,32607.8
789.405453777,437301.0
345.129490021,151082.0
349.626511091,114100.666667
506.227250231,35666.8
623.087494685,122499.666667
498.214112703,19129.5
551.960813093,110106.5
636.640571297,1804313.0
787.160481335,225133.0
1173.67459887,531998.0
623.395444333,242087.0
1588.62791478,311884.0
1208.95867135,65744.0
1483.77049838,57460.5

5-Fold RMSE:,167537.088592,190764.023242,656653.267093,317310.803879,317310.803879
Average 5-Fold RMSE:,297258.246813

5-Fold rsquared:,-0.296566276243,0.00406982452292,-55.9426225354,-0.193070042382,-0.193070042382
Average 5-Fold rsquared:,-11.3002514448
