voronoi_edges,transError.std.std
253,0.0488762765684
235,0.1863275
255,0.101101237389
170,0.186017
246,0.009255
232,0.0
303,0.0591725
147,0.138424101571
128,7.65827
263,14.6652972746
337,0.0
253,0.163987254835
651,0.0
166,0.187602242848
24,0.322411
159,0.2730165
195,0.749069
305,0.0
295,0.066417
287,0.0
229,0.146625
279,0.721266797933
315,0.738109625713
297,3.0796217385
112,0.0
155,4.04790223421
257,0.36931376237
449,2.45785083592
285,0.413958
321,0.845742
193,0.0
320,2.57654755771
437,10.1506075
104,0.0
264,7.315611
562,0.0
189,0.795869226053

5-Fold RMSE:,5.60937768792,1.79401774785,3.64081484104,2.56195960177,2.56195960177
Average 5-Fold RMSE:,2.99865686238

5-Fold rsquared:,-57.5968762498,-60.7239448826,-0.0677922563094,-0.132441366357,-0.132441366357
Average 5-Fold rsquared:,-23.7743307672
