topology_avg_closeness_centrality,rotError.numSamples.mean
0.321027376431,8627.0
0.307063318781,15695.5
0.3736125688,6140.2
0.408935571873,4242.0
0.424645653444,6332.5
0.361359086553,6329.0
0.275527456151,5863.0
0.458570826992,6086.75
0.384808883271,357218.5
0.345619064651,830942.333333
0.31302022507,36389.0
0.297037369872,15490.3333333
0.327739729602,13796.0
0.320985703109,12714.3333333
0.348572411089,7331.0
0.4281060583,7723.5
0.401704629629,25949.5
0.312405095581,22338.0
0.387862468291,24431.0
0.33979368597,59670.0
0.350927942074,13573.5
0.401346505261,22022.0
0.278481518716,32607.8
0.777777777778,437301.0
0.36624766393,151082.0
0.41996024624,114100.666667
0.488065475429,35666.8
0.42200643551,122499.666667
0.341150943476,19129.5
0.302416892695,110106.5
0.315127997702,1804313.0
0.261732493222,225133.0
0.320506146099,531998.0
0.415539839586,242087.0
0.284488279077,311884.0
0.259287867843,65744.0
0.352171322103,57460.5

5-Fold RMSE:,632359.175478,286305.819118,142672.225603,168599.26727,168599.26727
Average 5-Fold RMSE:,301838.250158

5-Fold rsquared:,-0.0770369069104,-2.65996364788,-4.2212699016,-0.257413913971,-0.257413913971
Average 5-Fold rsquared:,-1.72893100797
