voronoi_avg_shortest_path_length,rotError.mean.std
17.1090763052,0.0055707192085
13.0972090374,0.005774
15.4703899487,0.00612134232338
11.9320570832,0.005801
13.5300479543,0.010443
13.346740213,0.0
16.2894352159,0.0071645
8.04121274409,0.004242387086
12.4963662791,0.454829
13.4870361446,0.585340681631
14.9227073619,0.0
15.7706882489,0.00592653260066
21.4998288341,0.0
12.3135100709,0.00493682941438
3.74025974026,0.000363
11.5084367246,1e-05
12.2111532504,0.0232285
16.4234150966,0.0
12.3785714286,0.012573
14.282835877,0.0
12.3206884014,0.0029735
15.0959665481,0.00940442351001
15.7765005537,0.0173000462265
14.4232506728,0.389879276934
12.2139696587,0.0
12.0442237501,0.370803851292
14.0247250894,0.0154836093337
24.0119570496,0.0414718190067
16.4339661845,0.2579585
22.6007609824,0.0264565
12.0269053248,0.0
16.4454892506,0.0619982553142
20.3348066541,0.370025
9.9010989011,0.0
12.5083333333,0.1258145
17.5499233156,0.0
15.3235310498,0.00653480410475

5-Fold RMSE:,0.092189529314,0.251970111908,0.203343291613,0.077909109586,0.077909109586
Average 5-Fold RMSE:,0.142927896793

5-Fold rsquared:,-291.811479592,-0.104244244995,-0.0815794734765,-0.0519196141688,-0.0519196141688
Average 5-Fold rsquared:,-58.4374886437
