topology_edges,rotError.std.std
36,0.00415768868333
35,0.0035425
19,0.00655641073759
25,0.0051905
35,0.006605
39,0.0
57,0.0056375
18,0.00514110111625
23,0.4711185
26,0.520981324519
37,0.0
37,0.00461329826576
54,0.0
20,0.00678663190888
18,0.000102
21,0.002803
27,0.0297495
26,0.0
46,0.004725
39,0.0
63,0.003115
30,0.00955488046323
50,0.0452229868072
2,0.265200879727
14,0.0
19,0.370361932929
32,0.0440903158374
49,0.0449257746967
67,0.3296775
23,0.015767
29,0.0
51,0.0520600178548
57,0.46847
16,0.0
48,0.126804
90,0.0
24,0.00888930742522

5-Fold RMSE:,0.193474874886,0.160649572833,0.0926029443979,0.163766161704,0.163766161704
Average 5-Fold RMSE:,0.149497222017

5-Fold rsquared:,-2.4426515591,-0.0614930484225,-0.330429412739,-0.0777850961058,-0.0777850961058
Average 5-Fold rsquared:,-6.16706127866
