traversalTime,rotError.mean.mean
951.22385554,0.033056
750.178214424,0.022922
717.088483789,0.0119034
589.758911653,0.024416
874.938568522,0.022984
870.904226907,0.026014
870.931728251,0.0385815
550.763056801,0.01411725
492.886623007,0.508538
656.952316561,0.427206333333
1371.34741951,0.027683
1187.28583886,0.021869
2035.82864252,0.025594
754.01694709,0.011314
205.223499199,0.005875
726.421235223,0.008499
786.534337607,0.0364685
841.175649661,0.013377
731.103227949,0.025206
897.190026783,0.098742
1173.06783952,0.0188725
1069.35769226,0.0217106666667
1006.22432177,0.0356654
823.369821087,0.710121333333
183.023661923,0.617859
1001.59400158,0.347246
1342.9430314,0.037768
1455.54715772,0.0542597777778
1603.67256076,0.2879235
1367.57529848,0.0488165
520.067365763,0.811734
1567.27616653,0.061975
1008.03211816,0.422134
510.678711028,0.415324
1349.09985599,0.1402775
918.534020399,0.058548
1578.35836762,0.02715275

5-Fold RMSE:,0.267432306583,0.17933805023,0.236745084971,0.152770543259,0.152770543259
Average 5-Fold RMSE:,0.206910164149

5-Fold rsquared:,0.204022285955,0.00725284125252,-0.0799783984388,0.296117914167,0.296117914167
Average 5-Fold rsquared:,-0.311796219525
