wallRatio,transError.numSamples.std
195.799193881,1692.08022859
64.2505870093,3411.5
113.84243497,2886.681652
276.335142736,2356.0
54.7144722115,168.5
56.5108006335,0.0
64.1950153828,1162.0
40.7940417972,2768.629117
116.659635642,332796.5
125.858650875,1162326.40025
42.5,0.0
69.0004528971,4484.43361963
82.25,0.0
136.792027631,4596.02468323
121.115647214,6269.0
85.5,4659.5
88.2524787187,23467.5
85.0,0.0
185.4,2134.0
137.333434466,0.0
254.000492126,3793.5
61.75,25849.7467299
119.221642331,27505.3824798
107.12901101,164604.661684
116.372247551,0.0
116.833333333,116037.005748
85.6692606611,15605.2559274
82.2192191644,231363.029035
75.0,8298.5
59.6003355695,59179.5
100.215345056,0.0
113.5,358042.389847
62.8,489724.0
64.8333333333,0.0
95.5085578123,274071.0
57.795023193,0.0
195.0,56789.5485037

5-Fold RMSE:,179372.61576,93739.9259988,155072.285051,423967.64285,423967.64285
Average 5-Fold RMSE:,191294.874349

5-Fold rsquared:,-0.146752286457,-0.0383191273541,-0.126952870576,-0.40292088641,-0.40292088641
Average 5-Fold rsquared:,-0.263409226801
