avgRoomPerimeter,transError.std.std
707.007128463,0.0488762765684
758.966768091,0.1863275
2161.19207626,0.101101237389
630.451496107,0.186017
470.90808455,0.009255
844.944967104,0.0
120.176589697,0.0591725
294.819744545,0.138424101571
973.132170798,7.65827
1194.83545134,14.6652972746
191.601876363,0.0
248.223687618,0.163987254835
112.337263592,0.0
1792.08753811,0.187602242848
2075.92330798,0.322411
252.355785617,0.2730165
1406.85593365,0.749069
759.248936383,0.0
219.335679185,0.066417
855.595083334,0.0
108.968542951,0.146625
1503.33670222,0.721266797933
774.553634232,0.738109625713
539.066583437,3.0796217385
529.397177254,0.0
252.559291854,4.04790223421
379.091758694,0.36931376237
191.722481992,2.45785083592
99.2869208384,0.413958
575.918221531,0.845742
555.98246505,0.0
351.259423682,2.57654755771
650.998139899,10.1506075
1344.71238759,0.0
1364.92084998,7.315611
345.9363477,0.0
3522.51982697,0.795869226053

5-Fold RMSE:,1.71845539024,2.44136548527,3.50883793472,5.12543722577,5.12543722577
Average 5-Fold RMSE:,3.09473203726

5-Fold rsquared:,-0.0788438723076,-0.221662074564,-0.0438184588251,-210.225842991,-210.225842991
Average 5-Fold rsquared:,-52.4230968812
