voronoi_numBifurcationPoints,rotError.mean.std
125,0.0055707192085
117,0.005774
135,0.00612134232338
81,0.005801
121,0.010443
111,0.0
145,0.0071645
66,0.004242387086
62,0.454829
134,0.585340681631
126,0.0
123,0.00592653260066
324,0.0
82,0.00493682941438
13,0.000363
68,1e-05
93,0.0232285
146,0.0
148,0.012573
141,0.0
93,0.0029735
137,0.00940442351001
155,0.0173000462265
145,0.389879276934
52,0.0
58,0.370803851292
107,0.0154836093337
195,0.0414718190067
119,0.2579585
159,0.0264565
94,0.0
160,0.0619982553142
214,0.370025
49,0.0
131,0.1258145
268,0.0
92,0.00653480410475

5-Fold RMSE:,0.239122936815,0.126284453589,0.0767467466292,0.0883482071148,0.0883482071148
Average 5-Fold RMSE:,0.146245029364

5-Fold rsquared:,-0.0668561655372,-0.0953106192389,-144.176581381,-0.447058439602,-0.447058439602
Average 5-Fold rsquared:,-28.9677423964
