avgRoomWallRatio,transError.numSamples.std
28.751717776,1692.08022859
137.556377369,3411.5
52.1209436869,2886.681652
11.0567143812,2356.0
25.0965042526,168.5
5.11370107056,0.0
5.20722404423,1162.0
16.4235744233,2768.629117
23.8346876138,332796.5
20.8609685098,1162326.40025
5.36699093475,0.0
6.82477892286,4484.43361963
8.06038669655,0.0
29.1017856064,4596.02468323
112.186234652,6269.0
9.94474092631,4659.5
20.3487250038,23467.5
32.0558355679,0.0
5.66003775883,2134.0
41.7117577663,0.0
4.15960998171,3793.5
257.915562133,25849.7467299
18.4384227154,27505.3824798
78.8607355756,164604.661684
17.0310324486,0.0
5.20590608492,116037.005748
15.5899748781,15605.2559274
9.40155834329,231363.029035
5.76789137536,8298.5
32.8475094999,59179.5
21.165267296,0.0
12.5838625992,358042.389847
31.9225066807,489724.0
20.6470540419,0.0
94.0246719844,274071.0
74.578108553,0.0
42.725871617,56789.5485037

5-Fold RMSE:,391814.110789,180170.257355,130831.631886,116456.582617,116456.582617
Average 5-Fold RMSE:,187679.051069

5-Fold rsquared:,-172.255699894,-0.00596345737191,-0.155860413335,-0.0446914780402,-0.0446914780402
Average 5-Fold rsquared:,-34.5694931667
