roomPerimeter,transError.std.mean
824.277775057,0.79363175
909.128599512,0.9712675
883.283838598,0.660006
602.61103687,0.553814
651.012500721,0.679647
1075.51367261,0.695845
537.162909983,0.6465805
343.406315926,0.64506525
655.096395443,8.99611
864.15979835,11.1858156667
470.629120514,4.032134
551.429068269,0.868578333333
837.315270419,0.980527
846.661098224,0.931125666667
865.683726415,0.68123
349.485622363,0.7183785
900.193877884,1.188382
688.861804167,1.285796
533.159488544,1.247364
1023.76949412,2.102963
501.062394277,1.003049
1357.05101607,1.010814
1113.23214774,1.3055026
789.405453777,13.7854806667
345.129490021,8.904198
349.626511091,5.65513066667
506.227250231,1.8947556
623.087494685,2.71848344444
498.214112703,1.921542
551.960813093,2.705434
636.640571297,28.104709
787.160481335,2.8970098
1173.67459887,11.9478155
623.395444333,4.520748
1588.62791478,9.020481
1208.95867135,2.112467
1483.77049838,1.77265025

5-Fold RMSE:,5.33505501683,3.82008267421,2.27186382644,3.4362613756,3.4362613756
Average 5-Fold RMSE:,4.97138738143

5-Fold rsquared:,-0.194492847483,-9.75760493325,-3.42586449573,-0.230498098771,-0.230498098771
Average 5-Fold rsquared:,-2.81542519767
