topology_density,rotError.mean.mean
0.0827586206897,0.033056
0.070564516129,0.022922
0.111111111111,0.0119034
0.0905797101449,0.024416
0.0804597701149,0.022984
0.0585585585586,0.026014
0.0505319148936,0.0385815
0.105263157895,0.01411725
0.109523809524,0.508538
0.0866666666667,0.427206333333
0.0659536541889,0.027683
0.0621848739496,0.021869
0.090756302521,0.025594
0.105263157895,0.011314
0.105263157895,0.005875
0.122807017544,0.008499
0.0978260869565,0.0364685
0.0942028985507,0.013377
0.0773109243697,0.025206
0.0655462184874,0.098742
0.0582793709528,0.0188725
0.0689655172414,0.0217106666667
0.0641025641026,0.0356654
0.666666666667,0.710121333333
0.133333333333,0.617859
0.1,0.347246
0.0984615384615,0.037768
0.0542635658915,0.0542597777778
0.0619796484736,0.2879235
0.0909090909091,0.0488165
0.0826210826211,0.811734
0.0592334494774,0.061975
0.0550724637681,0.422134
0.117647058824,0.415324
0.0585365853659,0.1402775
0.0460829493088,0.058548
0.08,0.02715275

5-Fold RMSE:,0.218494102279,0.1449341991,0.341661234485,0.136484662539,0.136484662539
Average 5-Fold RMSE:,0.250350723031

5-Fold rsquared:,-0.922538151652,-0.0351160301132,-0.152292867773,0.13066828291,0.13066828291
Average 5-Fold rsquared:,-0.171487731005
