voronoi_avg_katz_centrality,rotError.numSamples.std
0.00263691501963,1692.08022859
0.00414675006167,3411.5
0.00687453878969,2886.681652
0.0132370052728,2356.0
0.000254586441506,168.5
0.00249469745735,0.0
0.00349157537483,1162.0
0.00819877290375,2768.629117
0.00368457372095,332796.5
0.00593057110261,1162326.40025
0.00183923477374,0.0
0.00276541182543,4484.43361963
0.00195573996648,0.0
0.00819487385135,4596.02468323
0.061080293104,6269.0
0.021034321157,4659.5
0.00770788343339,23467.5
0.000985497287792,0.0
0.00541741932639,2134.0
0.00473407332978,0.0
0.0107227141849,3793.5
0.00470260844059,25849.7467299
0.00337661950533,27505.3824798
0.00522130790338,164604.661684
0.00394697265736,0.0
0.0115555452936,116037.005748
0.00620759969978,15605.2559274
0.00237931914125,231363.029035
0.00425521588337,8298.5
0.00165416922011,59179.5
0.00454144763295,0.0
0.00305737359108,358042.389847
0.000464141250352,489724.0
0.0118453240216,0.0
0.00183164127162,274071.0
0.000137398924846,0.0
0.0125305043955,56789.5485037

5-Fold RMSE:,429657.730456,121641.542631,124802.274386,166435.852399,166435.852399
Average 5-Fold RMSE:,189174.618822

5-Fold rsquared:,-0.155458525711,-0.320905796023,-0.342920663893,-0.895584049022,-0.895584049022
Average 5-Fold rsquared:,-0.348955855171
