voronoi_avg_closeness_centrality,rotError.numSamples.mean
0.0607268432365,8627.0
0.0784116989904,15695.5
0.0670963269855,6140.2
0.0849009471958,4242.0
0.0752682157962,6332.5
0.0763646154256,6329.0
0.0630304264848,5863.0
0.12870857214,6086.75
0.0833470642953,357218.5
0.0764866089586,830942.333333
0.0689598898793,36389.0
0.0653665559372,15490.3333333
0.047644843881,13796.0
0.0838354988579,12714.3333333
0.276990231888,7331.0
0.0884732603304,7723.5
0.0840568168315,25949.5
0.0627819242078,22338.0
0.0824425675438,24431.0
0.0716179077184,59670.0
0.0829357773374,13573.5
0.0674685943723,22022.0
0.066160655136,32607.8
0.0716879263894,437301.0
0.0847485271117,151082.0
0.0852834013798,114100.666667
0.0745168063384,35666.8
0.0418780662733,122499.666667
0.0626132509807,19129.5
0.0459685102702,110106.5
0.086124372711,1804313.0
0.0621938106869,225133.0
0.0511601522691,531998.0
0.10438803755,242087.0
0.0829681026723,311884.0
0.0583282349173,65744.0
0.0677186188063,57460.5

5-Fold RMSE:,197707.030765,610869.045657,276144.084752,278518.558164,278518.558164
Average 5-Fold RMSE:,304920.404087

5-Fold rsquared:,-0.453823645165,-0.0277601064465,-16.7601938907,-47.8814381789,-47.8814381789
Average 5-Fold rsquared:,-15.1364677802
