topology_density,transError.std.mean
0.0827586206897,0.79363175
0.070564516129,0.9712675
0.111111111111,0.660006
0.0905797101449,0.553814
0.0804597701149,0.679647
0.0585585585586,0.695845
0.0505319148936,0.6465805
0.105263157895,0.64506525
0.109523809524,8.99611
0.0866666666667,11.1858156667
0.0659536541889,4.032134
0.0621848739496,0.868578333333
0.090756302521,0.980527
0.105263157895,0.931125666667
0.105263157895,0.68123
0.122807017544,0.7183785
0.0978260869565,1.188382
0.0942028985507,1.285796
0.0773109243697,1.247364
0.0655462184874,2.102963
0.0582793709528,1.003049
0.0689655172414,1.010814
0.0641025641026,1.3055026
0.666666666667,13.7854806667
0.133333333333,8.904198
0.1,5.65513066667
0.0984615384615,1.8947556
0.0542635658915,2.71848344444
0.0619796484736,1.921542
0.0909090909091,2.705434
0.0826210826211,28.104709
0.0592334494774,2.8970098
0.0550724637681,11.9478155
0.117647058824,4.520748
0.0585365853659,9.020481
0.0460829493088,2.112467
0.08,1.77265025

5-Fold RMSE:,4.4881670066,9.82074798979,2.67347049468,2.51807484289,2.51807484289
Average 5-Fold RMSE:,4.51438232384

5-Fold rsquared:,0.273568259238,-0.0762773564387,-0.194998934384,-9.67097668753,-9.67097668753
Average 5-Fold rsquared:,-1.89978432725
