traversalTime,rotError.numSamples.mean
951.22385554,8627.0
750.178214424,15695.5
717.088483789,6140.2
589.758911653,4242.0
874.938568522,6332.5
870.904226907,6329.0
870.931728251,5863.0
550.763056801,6086.75
492.886623007,357218.5
656.952316561,830942.333333
1371.34741951,36389.0
1187.28583886,15490.3333333
2035.82864252,13796.0
754.01694709,12714.3333333
205.223499199,7331.0
726.421235223,7723.5
786.534337607,25949.5
841.175649661,22338.0
731.103227949,24431.0
897.190026783,59670.0
1173.06783952,13573.5
1069.35769226,22022.0
1006.22432177,32607.8
823.369821087,437301.0
183.023661923,151082.0
1001.59400158,114100.666667
1342.9430314,35666.8
1455.54715772,122499.666667
1603.67256076,19129.5
1367.57529848,110106.5
520.067365763,1804313.0
1567.27616653,225133.0
1008.03211816,531998.0
510.678711028,242087.0
1349.09985599,311884.0
918.534020399,65744.0
1578.35836762,57460.5

5-Fold RMSE:,189013.15445,654829.554184,168339.915588,169579.178922,169579.178922
Average 5-Fold RMSE:,263426.959721

5-Fold rsquared:,0.0060250599775,-0.116218528058,-2.54974187081,0.00212581251707,0.00212581251707
Average 5-Fold rsquared:,-1.09597753219
