voronoi_avg_katz_centrality,rotError.std.std
0.00263691501963,0.00415768868333
0.00414675006167,0.0035425
0.00687453878969,0.00655641073759
0.0132370052728,0.0051905
0.000254586441506,0.006605
0.00249469745735,0.0
0.00349157537483,0.0056375
0.00819877290375,0.00514110111625
0.00368457372095,0.4711185
0.00593057110261,0.520981324519
0.00183923477374,0.0
0.00276541182543,0.00461329826576
0.00195573996648,0.0
0.00819487385135,0.00678663190888
0.061080293104,0.000102
0.021034321157,0.002803
0.00770788343339,0.0297495
0.000985497287792,0.0
0.00541741932639,0.004725
0.00473407332978,0.0
0.0107227141849,0.003115
0.00470260844059,0.00955488046323
0.00337661950533,0.0452229868072
0.00522130790338,0.265200879727
0.00394697265736,0.0
0.0115555452936,0.370361932929
0.00620759969978,0.0440903158374
0.00237931914125,0.0449257746967
0.00425521588337,0.3296775
0.00165416922011,0.015767
0.00454144763295,0.0
0.00305737359108,0.0520600178548
0.000464141250352,0.46847
0.0118453240216,0.0
0.00183164127162,0.126804
0.000137398924846,0.0
0.0125305043955,0.00888930742522

5-Fold RMSE:,0.0899966145703,0.117490497164,0.229996040463,0.114338641655,0.114338641655
Average 5-Fold RMSE:,0.154662669764

5-Fold rsquared:,-0.158945951078,-102.055244563,-0.101742022828,-0.00888884320959,-0.00888884320959
Average 5-Fold rsquared:,-20.4924859844
