voronoi_avg_shortest_path_length,rotError.mean.mean
17.1090763052,0.033056
13.0972090374,0.022922
15.4703899487,0.0119034
11.9320570832,0.024416
13.5300479543,0.022984
13.346740213,0.026014
16.2894352159,0.0385815
8.04121274409,0.01411725
12.4963662791,0.508538
13.4870361446,0.427206333333
14.9227073619,0.027683
15.7706882489,0.021869
21.4998288341,0.025594
12.3135100709,0.011314
3.74025974026,0.005875
11.5084367246,0.008499
12.2111532504,0.0364685
16.4234150966,0.013377
12.3785714286,0.025206
14.282835877,0.098742
12.3206884014,0.0188725
15.0959665481,0.0217106666667
15.7765005537,0.0356654
14.4232506728,0.710121333333
12.2139696587,0.617859
12.0442237501,0.347246
14.0247250894,0.037768
24.0119570496,0.0542597777778
16.4339661845,0.2879235
22.6007609824,0.0488165
12.0269053248,0.811734
16.4454892506,0.061975
20.3348066541,0.422134
9.9010989011,0.415324
12.5083333333,0.1402775
17.5499233156,0.058548
15.3235310498,0.02715275

5-Fold RMSE:,0.255592496814,0.159686723594,0.175239129588,0.197645478854,0.197645478854
Average 5-Fold RMSE:,0.221449020854

5-Fold rsquared:,0.0043700418054,-0.0325071494009,0.0206853435405,0.0189543554672,0.0189543554672
Average 5-Fold rsquared:,-0.0125666958087
