numRooms,rotError.std.mean
31,0.02798225
33,0.0320445
19,0.0178372
24,0.0199945
30,0.021598
37,0.036893
49,0.0359985
20,0.01772125
21,0.5246775
25,0.385748
34,0.088337
35,0.0298306666667
79,0.022416
20,0.014809
19,0.008167
22,0.012435
24,0.0413675
25,0.02285
36,0.028219
35,0.122708
48,0.020269
35,0.023071
40,0.0556182
34,0.805028666667
15,0.736744
22,0.348673666667
26,0.0636326
45,0.0959848888889
50,0.3574515
23,0.047268
27,0.997592
42,0.0586724
46,0.546293
17,0.668596
43,0.147273
65,0.059187
25,0.033395

5-Fold RMSE:,0.263633093222,0.424944348949,0.12973079242,0.22446476519,0.22446476519
Average 5-Fold RMSE:,0.237522039857

5-Fold rsquared:,0.0735255761154,-22.7566155675,-0.10571444093,-0.112235467954,-0.112235467954
Average 5-Fold rsquared:,-4.59084679347
