totalLength,rotError.numSamples.mean
1329.72750899,8627.0
2108.7669849,15695.5
2256.12310928,6140.2
824.368835301,4242.0
2126.22049647,6332.5
1790.18354594,6329.0
1441.58676375,5863.0
2440.05942838,6086.75
946.029134275,357218.5
863.896973708,830942.333333
3457.98110153,36389.0
1867.26882519,15490.3333333
3890.3216491,13796.0
1367.16333489,12714.3333333
1063.51137603,7331.0
1525.83099978,7723.5
1159.62437526,25949.5
1396.36771942,22338.0
874.593326059,24431.0
897.427820849,59670.0
1435.35472905,13573.5
2824.82110656,22022.0
1946.83451508,32607.8
846.497995999,437301.0
384.084747385,151082.0
1326.42297693,114100.666667
2372.92825138,35666.8
3101.91185446,122499.666667
1942.47141161,19129.5
3185.90692283,110106.5
848.674294841,1804313.0
3035.9531446,225133.0
917.952284687,531998.0
537.458350768,242087.0
3987.59657007,311884.0
1047.88838472,65744.0
2361.72989476,57460.5

5-Fold RMSE:,198560.605797,213932.726345,693403.727006,162742.479045,162742.479045
Average 5-Fold RMSE:,286809.024478

5-Fold rsquared:,0.113156090327,-0.0560158850208,0.298971766199,-3.49516561343,-3.49516561343
Average 5-Fold rsquared:,-0.774027255399
