topology_avg_shortest_path_length,transError.std.mean
3.25057471264,0.79363175
3.36088709677,0.9712675
2.76608187135,0.660006
2.52536231884,0.553814
2.4183908046,0.679647
2.83333333333,0.695845
3.77570921986,0.6465805
2.26900584795,0.64506525
2.68095238095,8.99611
3.04,11.1858156667
3.30837789661,4.032134
3.49411764706,0.868578333333
3.14957983193,0.980527
3.25789473684,0.931125666667
2.97076023392,0.68123
2.42105263158,0.7183785
2.57608695652,1.188382
3.34420289855,1.285796
2.65378151261,1.247364
3.05378151261,2.102963
2.93524514339,1.003049
2.55632183908,1.010814
3.71025641026,1.3055026
1.33333333333,13.7854806667
2.8380952381,8.904198
2.45789473684,5.65513066667
2.11076923077,1.8947556
2.41971207087,2.71848344444
3.01572617946,1.921542
3.395256917,2.705434
3.34757834758,28.104709
3.90592334495,2.8970098
3.25314009662,11.9478155
2.48529411765,4.520748
3.64146341463,9.020481
3.94674859191,2.112467
2.96666666667,1.77265025

5-Fold RMSE:,2.82343481266,4.1046534703,11.0417559965,4.1240780569,4.1240780569
Average 5-Fold RMSE:,5.09394869086

5-Fold rsquared:,-0.123185683147,-0.15072051916,-0.466245801558,-0.00693248569432,-0.00693248569432
Average 5-Fold rsquared:,-0.223863375885
