avgRoomArea,transError.mean.std
1770.82512649,0.0268714999802
1693.17206751,0.08188
16879.3303371,0.0386996817124
2060.46065176,0.195896
654.353986368,0.00292
2100.80696472,0.0
42.0407507992,0.1233725
159.178043584,0.0698618482453
2951.87623731,4.9228345
6566.39327632,9.61954530971
117.729480802,0.0
202.653527556,0.156519499397
37.5123784326,0.0
7841.40851591,0.277745542295
17362.1361915,0.448678
151.362690548,0.347259
5620.85672307,0.354833
1963.40434773,0.0
114.824991211,0.0584935
1997.3848037,0.0
34.881097464,0.321336
5426.47434551,0.477166622112
2722.63884182,0.255518043365
1733.7689016,3.45614803464
1048.19797,0.0
159.188760688,3.87716082459
301.946595142,0.596664793933
99.3657311669,2.23653723722
35.6467956188,0.1633645
1289.36416825,0.9678625
1209.03521613,0.0
363.343164941,2.54792806727
943.370778453,6.6343885
5552.49887159,0.0
7977.65771283,5.7450325
469.164697244,0.0
49524.5924242,0.15450226646

5-Fold RMSE:,3.16227562291,2.65015761791,1.99734123941,1.40868458213,1.40868458213
Average 5-Fold RMSE:,2.2411669257

5-Fold rsquared:,-0.304793139369,-1.43786518215,-0.208456365818,-12.7597679624,-12.7597679624
Average 5-Fold rsquared:,-2.97586883533
