topology_density,rotError.std.mean
0.0827586206897,0.02798225
0.070564516129,0.0320445
0.111111111111,0.0178372
0.0905797101449,0.0199945
0.0804597701149,0.021598
0.0585585585586,0.036893
0.0505319148936,0.0359985
0.105263157895,0.01772125
0.109523809524,0.5246775
0.0866666666667,0.385748
0.0659536541889,0.088337
0.0621848739496,0.0298306666667
0.090756302521,0.022416
0.105263157895,0.014809
0.105263157895,0.008167
0.122807017544,0.012435
0.0978260869565,0.0413675
0.0942028985507,0.02285
0.0773109243697,0.028219
0.0655462184874,0.122708
0.0582793709528,0.020269
0.0689655172414,0.023071
0.0641025641026,0.0556182
0.666666666667,0.805028666667
0.133333333333,0.736744
0.1,0.348673666667
0.0984615384615,0.0636326
0.0542635658915,0.0959848888889
0.0619796484736,0.3574515
0.0909090909091,0.047268
0.0826210826211,0.997592
0.0592334494774,0.0586724
0.0550724637681,0.546293
0.117647058824,0.668596
0.0585365853659,0.147273
0.0460829493088,0.059187
0.08,0.033395

5-Fold RMSE:,0.190096066355,0.329515552877,0.110397916019,0.291787934038,0.291787934038
Average 5-Fold RMSE:,0.251828054416

5-Fold rsquared:,0.433162463799,-0.322233579553,-0.089953580737,-136.276783057,-136.276783057
Average 5-Fold rsquared:,-27.2831083894
