roomPerimeter,transError.mean.mean
824.277775057,0.77999825
909.128599512,0.737788
883.283838598,0.6111264
602.61103687,0.627088
651.012500721,0.895302
1075.51367261,0.690067
537.162909983,0.6868825
343.406315926,0.7195855
655.096395443,6.0711005
864.15979835,7.747828
470.629120514,1.066061
551.429068269,0.880959666667
837.315270419,1.110731
846.661098224,0.992162
865.683726415,0.806277
349.485622363,0.960523
900.193877884,0.95364
688.861804167,1.467048
533.159488544,1.3147815
1023.76949412,1.60563
501.062394277,1.28873
1357.05101607,1.08620766667
1113.23214774,0.873942
789.405453777,9.46907833333
345.129490021,5.437125
349.626511091,5.458101
506.227250231,1.9444218
623.087494685,2.43944244444
498.214112703,2.0359135
551.960813093,2.2091805
636.640571297,16.189822
787.160481335,2.9383338
1173.67459887,7.8686635
623.395444333,3.155217
1588.62791478,7.5462215
1208.95867135,1.874993
1483.77049838,1.3166405

5-Fold RMSE:,5.35053193498,2.41368855865,2.07639206484,2.54377899768,2.54377899768
Average 5-Fold RMSE:,3.1069676643

5-Fold rsquared:,-0.247594299043,-0.164480169904,-0.529887363765,-0.275395483867,-0.275395483867
Average 5-Fold rsquared:,-0.346416184101
