topology_edges,transError.mean.std
36,0.0268714999802
35,0.08188
19,0.0386996817124
25,0.195896
35,0.00292
39,0.0
57,0.1233725
18,0.0698618482453
23,4.9228345
26,9.61954530971
37,0.0
37,0.156519499397
54,0.0
20,0.277745542295
18,0.448678
21,0.347259
27,0.354833
26,0.0
46,0.0584935
39,0.0
63,0.321336
30,0.477166622112
50,0.255518043365
2,3.45614803464
14,0.0
19,3.87716082459
32,0.596664793933
49,2.23653723722
67,0.1633645
23,0.9678625
29,0.0
51,2.54792806727
57,6.6343885
16,0.0
48,5.7450325
90,0.0
24,0.15450226646

5-Fold RMSE:,3.76180161337,1.45549230084,1.3326883208,1.69269275044,1.69269275044
Average 5-Fold RMSE:,2.04352461691

5-Fold rsquared:,-0.0709877048257,-0.0178414446984,-0.410059493046,-0.712156115166,-0.712156115166
Average 5-Fold rsquared:,-0.289149658507
