wallRatio,transError.std.std
195.799193881,0.0488762765684
64.2505870093,0.1863275
113.84243497,0.101101237389
276.335142736,0.186017
54.7144722115,0.009255
56.5108006335,0.0
64.1950153828,0.0591725
40.7940417972,0.138424101571
116.659635642,7.65827
125.858650875,14.6652972746
42.5,0.0
69.0004528971,0.163987254835
82.25,0.0
136.792027631,0.187602242848
121.115647214,0.322411
85.5,0.2730165
88.2524787187,0.749069
85.0,0.0
185.4,0.066417
137.333434466,0.0
254.000492126,0.146625
61.75,0.721266797933
119.221642331,0.738109625713
107.12901101,3.0796217385
116.372247551,0.0
116.833333333,4.04790223421
85.6692606611,0.36931376237
82.2192191644,2.45785083592
75.0,0.413958
59.6003355695,0.845742
100.215345056,0.0
113.5,2.57654755771
62.8,10.1506075
64.8333333333,0.0
95.5085578123,7.315611
57.795023193,0.0
195.0,0.795869226053

5-Fold RMSE:,1.40699679225,3.50385389607,2.58604020245,2.62316983578,2.62316983578
Average 5-Fold RMSE:,3.08421835584

5-Fold rsquared:,-0.0169728408967,-64.7249706311,-0.188388860962,-0.157095061743,-0.157095061743
Average 5-Fold rsquared:,-18.3284591799
