voronoi_nodes,transError.numSamples.mean
250,8627.0
230,15695.5
229,6140.2
170,4242.0
243,6332.5
229,6329.0
301,5863.0
140,6086.75
129,357218.5
250,830942.333333
337,36389.0
253,15490.3333333
640,13796.0
159,12714.3333333
22,7331.0
156,7723.5
194,25949.5
291,22338.0
281,24431.0
283,59670.0
223,13573.5
278,22022.0
301,32607.8
289,437301.0
113,151082.0
154,114100.666667
244,35666.8
431,122499.666667
278,19129.5
295,110106.5
189,1804313.0
316,225133.0
427,531998.0
105,242087.0
256,311884.0
530,65744.0
190,57460.5

5-Fold RMSE:,161974.65284,153159.23003,327359.398347,660758.097321,660758.097321
Average 5-Fold RMSE:,291732.556291

5-Fold rsquared:,-0.0981111633759,-1.60046870251,-0.0107641246671,-0.840771078347,-0.840771078347
Average 5-Fold rsquared:,-0.53862012293
