topology_radius,rotError.std.std
4,0.00415768868333
4,0.0035425
2,0.00655641073759
3,0.0051905
2,0.006605
3,0.0
4,0.0056375
2,0.00514110111625
3,0.4711185
4,0.520981324519
3,0.0
4,0.00461329826576
4,0.0
3,0.00678663190888
3,0.000102
2,0.002803
3,0.0297495
4,0.0
3,0.004725
3,0.0
3,0.003115
2,0.00955488046323
4,0.0452229868072
1,0.265200879727
3,0.0
2,0.370361932929
2,0.0440903158374
3,0.0449257746967
3,0.3296775
3,0.015767
4,0.0
5,0.0520600178548
4,0.46847
2,0.0
4,0.126804
5,0.0
4,0.00888930742522

5-Fold RMSE:,0.106311195117,0.201947287922,0.177790570135,0.163266158514,0.163266158514
Average 5-Fold RMSE:,0.147660234924

5-Fold rsquared:,-0.28440645067,-0.112953552761,-0.0822755892042,-2.79186975173,-2.79186975173
Average 5-Fold rsquared:,-4.21297028011
