traversalTime,transError.mean.std
951.22385554,0.0268714999802
750.178214424,0.08188
717.088483789,0.0386996817124
589.758911653,0.195896
874.938568522,0.00292
870.904226907,0.0
870.931728251,0.1233725
550.763056801,0.0698618482453
492.886623007,4.9228345
656.952316561,9.61954530971
1371.34741951,0.0
1187.28583886,0.156519499397
2035.82864252,0.0
754.01694709,0.277745542295
205.223499199,0.448678
726.421235223,0.347259
786.534337607,0.354833
841.175649661,0.0
731.103227949,0.0584935
897.190026783,0.0
1173.06783952,0.321336
1069.35769226,0.477166622112
1006.22432177,0.255518043365
823.369821087,3.45614803464
183.023661923,0.0
1001.59400158,3.87716082459
1342.9430314,0.596664793933
1455.54715772,2.23653723722
1603.67256076,0.1633645
1367.57529848,0.9678625
520.067365763,0.0
1567.27616653,2.54792806727
1008.03211816,6.6343885
510.678711028,0.0
1349.09985599,5.7450325
918.534020399,0.0
1578.35836762,0.15450226646

5-Fold RMSE:,1.58894113036,1.66926063423,1.41972933004,1.23117711197,1.23117711197
Average 5-Fold RMSE:,2.08084605193

5-Fold rsquared:,-0.268792827908,-2.15499061095,-0.369852676329,-0.150978951881,-0.150978951881
Average 5-Fold rsquared:,-0.602707855808
