topology_numBifurcationPoints,transError.std.std
8,0.0488762765684
9,0.1863275
3,0.101101237389
4,0.186017
6,0.009255
3,0.0
15,0.0591725
1,0.138424101571
5,7.65827
5,14.6652972746
12,0.0
7,0.163987254835
20,0.0
3,0.187602242848
3,0.322411
4,0.2730165
5,0.749069
5,0.0
11,0.066417
7,0.0
14,0.146625
3,0.721266797933
13,0.738109625713
0,3.0796217385
3,0.0
2,4.04790223421
5,0.36931376237
6,2.45785083592
17,0.413958
5,0.845742
5,0.0
15,2.57654755771
10,10.1506075
3,0.0
12,7.315611
28,0.0
3,0.795869226053

5-Fold RMSE:,2.25549997481,4.84336797733,1.60582123548,1.91357138928,1.91357138928
Average 5-Fold RMSE:,3.12937981102

5-Fold rsquared:,0.00765367039914,-0.0978785327133,-0.022260367897,-1.45800823074,-1.45800823074
Average 5-Fold rsquared:,-0.341180948333
