topology_avg_closeness_centrality,rotError.numSamples.std
0.321027376431,1692.08022859
0.307063318781,3411.5
0.3736125688,2886.681652
0.408935571873,2356.0
0.424645653444,168.5
0.361359086553,0.0
0.275527456151,1162.0
0.458570826992,2768.629117
0.384808883271,332796.5
0.345619064651,1162326.40025
0.31302022507,0.0
0.297037369872,4484.43361963
0.327739729602,0.0
0.320985703109,4596.02468323
0.348572411089,6269.0
0.4281060583,4659.5
0.401704629629,23467.5
0.312405095581,0.0
0.387862468291,2134.0
0.33979368597,0.0
0.350927942074,3793.5
0.401346505261,25849.7467299
0.278481518716,27505.3824798
0.777777777778,164604.661684
0.36624766393,0.0
0.41996024624,116037.005748
0.488065475429,15605.2559274
0.42200643551,231363.029035
0.341150943476,8298.5
0.302416892695,59179.5
0.315127997702,0.0
0.261732493222,358042.389847
0.320506146099,489724.0
0.415539839586,0.0
0.284488279077,274071.0
0.259287867843,0.0
0.352171322103,56789.5485037

5-Fold RMSE:,423484.513668,146633.340122,134535.33431,107049.116554,107049.116554
Average 5-Fold RMSE:,184031.628239

5-Fold rsquared:,-0.0444380010564,-0.299138497848,-0.26035903951,-0.165874629482,-0.165874629482
Average 5-Fold rsquared:,-16.4281295197
