topology_std_eigenvector_centrality,rotError.mean.mean
0.118775976121,0.033056
0.105912295049,0.022922
0.128133402293,0.0119034
0.123327189632,0.024416
0.11116785633,0.022984
0.0963975736058,0.026014
0.111420287448,0.0385815
0.132839614937,0.01411725
0.12661037708,0.508538
0.129278231027,0.427206333333
0.116999705628,0.027683
0.113860325594,0.021869
0.0983045532532,0.025594
0.136984666563,0.011314
0.121745985772,0.005875
0.129587592,0.008499
0.12417994054,0.0364685
0.143314542052,0.013377
0.105943592175,0.025206
0.112661742233,0.098742
0.0953368680058,0.0188725
0.11078077306,0.0217106666667
0.108512198276,0.0356654
0.0976310729378,0.710121333333
0.136238783067,0.617859
0.127039153774,0.347246
0.112134596259,0.037768
0.0976912934536,0.0542597777778
0.0929410616606,0.2879235
0.109405113251,0.0488165
0.13417553378,0.811734
0.114101280324,0.061975
0.106549735087,0.422134
0.133073753052,0.415324
0.10756347235,0.1402775
0.0795638641065,0.058548
0.133711411098,0.02715275

5-Fold RMSE:,0.123553736209,0.344670516375,0.148722385858,0.150889948739,0.150889948739
Average 5-Fold RMSE:,0.20658050343

5-Fold rsquared:,-0.225395938316,-0.984201988468,-12.9000754531,0.0752388788623,0.0752388788623
Average 5-Fold rsquared:,-3.40013829346
