voronoi_radius,transError.mean.std
23,0.0268714999802
18,0.08188
20,0.0386996817124
18,0.195896
19,0.00292
18,0.0
21,0.1233725
9,0.0698618482453
17,4.9228345
16,9.61954530971
16,0.0
19,0.156519499397
27,0.0
14,0.277745542295
4,0.448678
16,0.347259
16,0.354833
19,0.0
15,0.0584935
17,0.0
19,0.321336
20,0.477166622112
20,0.255518043365
19,3.45614803464
16,0.0
14,3.87716082459
22,0.596664793933
40,2.23653723722
21,0.1633645
26,0.9678625
14,0.0
20,2.54792806727
28,6.6343885
12,0.0
14,5.7450325
23,0.0
18,0.15450226646

5-Fold RMSE:,3.73303114022,1.3315514414,1.54766576583,2.54113944936,2.54113944936
Average 5-Fold RMSE:,2.09377987653

5-Fold rsquared:,-0.0468084150534,-0.122768372141,-0.246426228511,-0.0574500709338,-0.0574500709338
Average 5-Fold rsquared:,-0.327377874459
