wallRatio,rotError.mean.mean
195.799193881,0.033056
64.2505870093,0.022922
113.84243497,0.0119034
276.335142736,0.024416
54.7144722115,0.022984
56.5108006335,0.026014
64.1950153828,0.0385815
40.7940417972,0.01411725
116.659635642,0.508538
125.858650875,0.427206333333
42.5,0.027683
69.0004528971,0.021869
82.25,0.025594
136.792027631,0.011314
121.115647214,0.005875
85.5,0.008499
88.2524787187,0.0364685
85.0,0.013377
185.4,0.025206
137.333434466,0.098742
254.000492126,0.0188725
61.75,0.0217106666667
119.221642331,0.0356654
107.12901101,0.710121333333
116.372247551,0.617859
116.833333333,0.347246
85.6692606611,0.037768
82.2192191644,0.0542597777778
75.0,0.2879235
59.6003355695,0.0488165
100.215345056,0.811734
113.5,0.061975
62.8,0.422134
64.8333333333,0.415324
95.5085578123,0.1402775
57.795023193,0.058548
195.0,0.02715275

5-Fold RMSE:,0.378566039056,0.18076836127,0.156993142583,0.178530526219,0.178530526219
Average 5-Fold RMSE:,0.207494040852

5-Fold rsquared:,-0.00700318444999,-15.5097692858,-0.354642602609,-0.149919179642,-0.149919179642
Average 5-Fold rsquared:,-3.30317622665
