perimeter,rotError.mean.std
582.414195881,0.0055707192085
574.390274931,0.005774
642.501394841,0.00612134232338
396.724658884,0.005801
398.050280897,0.010443
629.847164937,0.0
325.157616123,0.0071645
161.46910584,0.004242387086
607.353417602,0.454829
623.982104305,0.585340681631
413.568733758,0.0
479.641424654,0.00592653260066
383.710764507,0.0
673.355919531,0.00493682941438
798.372831181,0.000363
186.385475943,1e-05
609.954365264,0.0232285
661.864870045,0.0
243.197749682,0.012573
625.529006956,0.0
175.184877189,0.0029735
810.652971073,0.00940442351001
791.247099826,0.0173000462265
569.465956684,0.389879276934
301.700928702,0.0
333.320883456,0.370803851292
251.520417083,0.0154836093337
266.853191731,0.0414718190067
277.253593842,0.2579585
542.151199633,0.0264565
523.504495381,0.0
462.202334131,0.0619982553142
804.802666284,0.370025
577.749460923,0.0
919.385854688,0.1258145
687.006424965,0.0
1411.67024864,0.00653480410475

5-Fold RMSE:,0.125457381275,0.125056368096,0.202201333963,0.154840340149,0.154840340149
Average 5-Fold RMSE:,0.151524456837

5-Fold rsquared:,-0.353405792454,-0.321656877123,-14.26925394,-2.31125239616,-2.31125239616
Average 5-Fold rsquared:,-23.1830907169
