wallRatio,transError.mean.std
195.799193881,0.0268714999802
64.2505870093,0.08188
113.84243497,0.0386996817124
276.335142736,0.195896
54.7144722115,0.00292
56.5108006335,0.0
64.1950153828,0.1233725
40.7940417972,0.0698618482453
116.659635642,4.9228345
125.858650875,9.61954530971
42.5,0.0
69.0004528971,0.156519499397
82.25,0.0
136.792027631,0.277745542295
121.115647214,0.448678
85.5,0.347259
88.2524787187,0.354833
85.0,0.0
185.4,0.0584935
137.333434466,0.0
254.000492126,0.321336
61.75,0.477166622112
119.221642331,0.255518043365
107.12901101,3.45614803464
116.372247551,0.0
116.833333333,3.87716082459
85.6692606611,0.596664793933
82.2192191644,2.23653723722
75.0,0.1633645
59.6003355695,0.9678625
100.215345056,0.0
113.5,2.54792806727
62.8,6.6343885
64.8333333333,0.0
95.5085578123,5.7450325
57.795023193,0.0
195.0,0.15450226646

5-Fold RMSE:,2.48850959339,1.42117039409,1.64425103325,4.07201538926,4.07201538926
Average 5-Fold RMSE:,2.21737165186

5-Fold rsquared:,-0.336848967539,-0.294462961636,-0.225146400138,-16.7281493123,-16.7281493123
Average 5-Fold rsquared:,-3.72327748123
