topology_numBifurcationPoints,rotError.mean.std
8,0.0055707192085
9,0.005774
3,0.00612134232338
4,0.005801
6,0.010443
3,0.0
15,0.0071645
1,0.004242387086
5,0.454829
5,0.585340681631
12,0.0
7,0.00592653260066
20,0.0
3,0.00493682941438
3,0.000363
4,1e-05
5,0.0232285
5,0.0
11,0.012573
7,0.0
14,0.0029735
3,0.00940442351001
13,0.0173000462265
0,0.389879276934
3,0.0
2,0.370803851292
5,0.0154836093337
6,0.0414718190067
17,0.2579585
5,0.0264565
5,0.0
15,0.0619982553142
10,0.370025
3,0.0
12,0.1258145
28,0.0
3,0.00653480410475

5-Fold RMSE:,0.0860616006712,0.163378964647,0.0766406599489,0.28644664392,0.28644664392
Average 5-Fold RMSE:,0.147614274409

5-Fold rsquared:,-0.0106310644852,-0.880841018691,0.00995220426704,-0.232742058138,-0.232742058138
Average 5-Fold rsquared:,-0.234190823657
