avgRoomArea,transError.numSamples.mean
1770.82512649,8627.0
1693.17206751,15695.5
16879.3303371,6140.2
2060.46065176,4242.0
654.353986368,6332.5
2100.80696472,6329.0
42.0407507992,5863.0
159.178043584,6086.75
2951.87623731,357218.5
6566.39327632,830942.333333
117.729480802,36389.0
202.653527556,15490.3333333
37.5123784326,13796.0
7841.40851591,12714.3333333
17362.1361915,7331.0
151.362690548,7723.5
5620.85672307,25949.5
1963.40434773,22338.0
114.824991211,24431.0
1997.3848037,59670.0
34.881097464,13573.5
5426.47434551,22022.0
2722.63884182,32607.8
1733.7689016,437301.0
1048.19797,151082.0
159.188760688,114100.666667
301.946595142,35666.8
99.3657311669,122499.666667
35.6467956188,19129.5
1289.36416825,110106.5
1209.03521613,1804313.0
363.343164941,225133.0
943.370778453,531998.0
5552.49887159,242087.0
7977.65771283,311884.0
469.164697244,65744.0
49524.5924242,57460.5

5-Fold RMSE:,142436.917371,297133.141112,641192.799068,159666.337131,159666.337131
Average 5-Fold RMSE:,279459.163946

5-Fold rsquared:,-0.760725703498,-0.196522948164,-3.30914952424,-0.00904258854293,-0.00904258854293
Average 5-Fold rsquared:,-0.86415458432
