voronoi_std_betweenness_centrality,transError.std.mean
0.108306665569,0.79363175
0.0848366529613,0.9712675
0.114004545879,0.660006
0.103636622274,0.553814
0.082138035642,0.679647
0.0855568473939,0.695845
0.0952789524029,0.6465805
0.0830023467368,0.64506525
0.157379029906,8.99611
0.0778880925589,11.1858156667
0.0958990178296,4.032134
0.123818508682,0.868578333333
0.064127687584,0.980527
0.128144102526,0.931125666667
0.126020319963,0.68123
0.0939366873161,0.7183785
0.0872310046751,1.188382
0.115339067677,1.285796
0.0623751617214,1.247364
0.0762021693546,2.102963
0.0702608079073,1.003049
0.0867796134283,1.010814
0.0850149322524,1.3055026
0.0828370625069,13.7854806667
0.16805134529,8.904198
0.138718645002,5.65513066667
0.0739055320019,1.8947556
0.0913729694687,2.71848344444
0.0894050902149,1.921542
0.134288831834,2.705434
0.1103334443,28.104709
0.0770398687958,2.8970098
0.0862567077224,11.9478155
0.151920860392,4.520748
0.0746543812721,9.020481
0.0511046648544,2.112467
0.140770979315,1.77265025

5-Fold RMSE:,6.12267842792,3.94910937124,2.64027145986,2.49140754288,2.49140754288
Average 5-Fold RMSE:,4.94291788162

5-Fold rsquared:,-0.064255451513,-0.473107010772,-0.22919085571,0.0520825707969,0.0520825707969
Average 5-Fold rsquared:,-0.135947330973
