topology_numBifurcationPoints,transError.mean.std
8,0.0268714999802
9,0.08188
3,0.0386996817124
4,0.195896
6,0.00292
3,0.0
15,0.1233725
1,0.0698618482453
5,4.9228345
5,9.61954530971
12,0.0
7,0.156519499397
20,0.0
3,0.277745542295
3,0.448678
4,0.347259
5,0.354833
5,0.0
11,0.0584935
7,0.0
14,0.321336
3,0.477166622112
13,0.255518043365
0,3.45614803464
3,0.0
2,3.87716082459
5,0.596664793933
6,2.23653723722
17,0.1633645
5,0.9678625
5,0.0
15,2.54792806727
10,6.6343885
3,0.0
12,5.7450325
28,0.0
3,0.15450226646

5-Fold RMSE:,1.60403863777,1.41592674196,3.55666441093,1.19572671486,1.19572671486
Average 5-Fold RMSE:,2.16325595326

5-Fold rsquared:,-0.966804042975,-174.016273239,-39.2957385977,-0.958558270462,-0.958558270462
Average 5-Fold rsquared:,-43.0638162127
