voronoi_radius,rotError.mean.std
23,0.0055707192085
18,0.005774
20,0.00612134232338
18,0.005801
19,0.010443
18,0.0
21,0.0071645
9,0.004242387086
17,0.454829
16,0.585340681631
16,0.0
19,0.00592653260066
27,0.0
14,0.00493682941438
4,0.000363
16,1e-05
16,0.0232285
19,0.0
15,0.012573
17,0.0
19,0.0029735
20,0.00940442351001
20,0.0173000462265
19,0.389879276934
16,0.0
14,0.370803851292
22,0.0154836093337
40,0.0414718190067
21,0.2579585
26,0.0264565
14,0.0
20,0.0619982553142
28,0.370025
12,0.0
14,0.1258145
23,0.0
18,0.00653480410475

5-Fold RMSE:,0.142580905818,0.0890557402361,0.138074879876,0.0714754981373,0.0714754981373
Average 5-Fold RMSE:,0.146935275748

5-Fold rsquared:,-0.0860656323936,-0.0171729524182,-0.293462670691,-0.0425174760732,-0.0425174760732
Average 5-Fold rsquared:,-0.136422049341
