perimeter,rotError.std.std
582.414195881,0.00415768868333
574.390274931,0.0035425
642.501394841,0.00655641073759
396.724658884,0.0051905
398.050280897,0.006605
629.847164937,0.0
325.157616123,0.0056375
161.46910584,0.00514110111625
607.353417602,0.4711185
623.982104305,0.520981324519
413.568733758,0.0
479.641424654,0.00461329826576
383.710764507,0.0
673.355919531,0.00678663190888
798.372831181,0.000102
186.385475943,0.002803
609.954365264,0.0297495
661.864870045,0.0
243.197749682,0.004725
625.529006956,0.0
175.184877189,0.003115
810.652971073,0.00955488046323
791.247099826,0.0452229868072
569.465956684,0.265200879727
301.700928702,0.0
333.320883456,0.370361932929
251.520417083,0.0440903158374
266.853191731,0.0449257746967
277.253593842,0.3296775
542.151199633,0.015767
523.504495381,0.0
462.202334131,0.0520600178548
804.802666284,0.46847
577.749460923,0.0
919.385854688,0.126804
687.006424965,0.0
1411.67024864,0.00888930742522

5-Fold RMSE:,0.150644973168,0.240684698694,0.130261479028,0.13749701716,0.13749701716
Average 5-Fold RMSE:,0.154612299672

5-Fold rsquared:,-0.519659957592,-21.2845520906,-0.00911965741631,-2.38531869025,-2.38531869025
Average 5-Fold rsquared:,-4.92910870584
