topology_nodes,rotError.std.std
30,0.00415768868333
32,0.0035425
19,0.00655641073759
24,0.0051905
30,0.006605
37,0.0
48,0.0056375
19,0.00514110111625
21,0.4711185
25,0.520981324519
34,0.0
35,0.00461329826576
35,0.0
20,0.00678663190888
19,0.000102
19,0.002803
24,0.0297495
24,0.0
35,0.004725
35,0.0
47,0.003115
30,0.00955488046323
40,0.0452229868072
3,0.265200879727
15,0.0
20,0.370361932929
26,0.0440903158374
43,0.0449257746967
47,0.3296775
23,0.015767
27,0.0
42,0.0520600178548
46,0.46847
17,0.0
41,0.126804
63,0.0
25,0.00888930742522

5-Fold RMSE:,0.0810836961319,0.156422629131,0.163959658703,0.129679546777,0.129679546777
Average 5-Fold RMSE:,0.150609337096

5-Fold rsquared:,-40.4489347729,-0.244082341639,-31.5819120102,-0.633962660067,-0.633962660067
Average 5-Fold rsquared:,-14.6073699251
