totalTime,rotError.std.mean
4665.975,0.02798225
5137.1,0.0320445
5690.54,0.0178372
2714.45,0.0199945
4835.1,0.021598
4832.8,0.036893
4219.35,0.0359985
5898.65,0.01772125
3627.9,0.5246775
3827.43333333,0.385748
11510.1,0.088337
5241.43333333,0.0298306666667
10257.5,0.022416
3827.56666667,0.014809
3620.7,0.008167
4229.35,0.012435
3313.3,0.0413675
4822.6,0.02285
3930.0,0.028219
3614.3,0.122708
4227.2,0.020269
7469.7,0.023071
5687.44,0.0556182
3623.2,0.805028666667
2421.2,0.736744
4828.66666667,0.348673666667
7982.52,0.0636326
8717.62222222,0.0959848888889
6334.0,0.3574515
7562.0,0.047268
4829.8,0.997592
7868.38,0.0586724
3315.1,0.546293
2415.4,0.668596
9369.6,0.147273
4827.5,0.059187
6338.1,0.033395

5-Fold RMSE:,0.2615460639,0.284877593082,0.143260397909,0.381732443657,0.381732443657
Average 5-Fold RMSE:,0.256375054261

5-Fold rsquared:,0.312441297059,0.108896704243,-0.04752431071,-417.514207471,-417.514207471
Average 5-Fold rsquared:,-83.511991672
