totalLength,rotError.std.std
1329.72750899,0.00415768868333
2108.7669849,0.0035425
2256.12310928,0.00655641073759
824.368835301,0.0051905
2126.22049647,0.006605
1790.18354594,0.0
1441.58676375,0.0056375
2440.05942838,0.00514110111625
946.029134275,0.4711185
863.896973708,0.520981324519
3457.98110153,0.0
1867.26882519,0.00461329826576
3890.3216491,0.0
1367.16333489,0.00678663190888
1063.51137603,0.000102
1525.83099978,0.002803
1159.62437526,0.0297495
1396.36771942,0.0
874.593326059,0.004725
897.427820849,0.0
1435.35472905,0.003115
2824.82110656,0.00955488046323
1946.83451508,0.0452229868072
846.497995999,0.265200879727
384.084747385,0.0
1326.42297693,0.370361932929
2372.92825138,0.0440903158374
3101.91185446,0.0449257746967
1942.47141161,0.3296775
3185.90692283,0.015767
848.674294841,0.0
3035.9531446,0.0520600178548
917.952284687,0.46847
537.458350768,0.0
3987.59657007,0.126804
1047.88838472,0.0
2361.72989476,0.00888930742522

5-Fold RMSE:,0.109134024876,0.159436179892,0.150563892522,0.179075929531,0.179075929531
Average 5-Fold RMSE:,0.150605470832

5-Fold rsquared:,-43.1815592087,-0.132520891288,-0.0903320629631,0.0961650521994,0.0961650521994
Average 5-Fold rsquared:,-8.65251457625
