topology_edges,transError.mean.mean
36,0.77999825
35,0.737788
19,0.6111264
25,0.627088
35,0.895302
39,0.690067
57,0.6868825
18,0.7195855
23,6.0711005
26,7.747828
37,1.066061
37,0.880959666667
54,1.110731
20,0.992162
18,0.806277
21,0.960523
27,0.95364
26,1.467048
46,1.3147815
39,1.60563
63,1.28873
30,1.08620766667
50,0.873942
2,9.46907833333
14,5.437125
19,5.458101
32,1.9444218
49,2.43944244444
67,2.0359135
23,2.2091805
29,16.189822
51,2.9383338
57,7.8686635
16,3.155217
48,7.5462215
90,1.874993
24,1.3166405

5-Fold RMSE:,2.49529812608,5.62552454026,2.6098253356,3.01010055951,3.01010055951
Average 5-Fold RMSE:,3.05265960083

5-Fold rsquared:,-0.752038735544,-0.183962067047,0.0659152478288,0.0908759359125,0.0908759359125
Average 5-Fold rsquared:,-1.33988274603
