voronoi_std_eigenvector_centrality,transError.mean.std
0.0621418524861,0.0268714999802
0.064562611159,0.08188
0.0655147896749,0.0386996817124
0.0756944120562,0.195896
0.063736397957,0.00292
0.0655788298353,0.0
0.0571208297746,0.1233725
0.0795172592942,0.0698618482453
0.0863325328339,4.9228345
0.0625710750276,9.61954530971
0.0539293297254,0.0
0.0623255741929,0.156519499397
0.0393741635952,0.0
0.0778171239841,0.277745542295
0.183177866246,0.448678
0.0788215763143,0.347259
0.0702204048489,0.354833
0.0583048887054,0.0
0.0585601819606,0.0584935
0.0588844988291,0.0
0.0665140899304,0.321336
0.0595416486538,0.477166622112
0.0570370754118,0.255518043365
0.0583229555488,3.45614803464
0.092355006202,0.0
0.0794001997108,3.87716082459
0.0633224148962,0.596664793933
0.0480134270942,2.23653723722
0.0594842394656,0.1633645
0.057696329759,0.9678625
0.0701124270704,0.0
0.0559140808964,2.54792806727
0.0480981747221,6.6343885
0.095602752891,0.0
0.061688422116,5.7450325
0.0433166383751,0.0
0.0718074587629,0.15450226646

5-Fold RMSE:,3.48581351849,1.32037622905,1.49399518294,1.92426436003,1.92426436003
Average 5-Fold RMSE:,2.09502256082

5-Fold rsquared:,-44.3303445407,-0.20789497064,-83.7134537982,-0.143265123913,-0.143265123913
Average 5-Fold rsquared:,-25.6644603825
