topology_nodes,rotError.mean.std
30,0.0055707192085
32,0.005774
19,0.00612134232338
24,0.005801
30,0.010443
37,0.0
48,0.0071645
19,0.004242387086
21,0.454829
25,0.585340681631
34,0.0
35,0.00592653260066
35,0.0
20,0.00493682941438
19,0.000363
19,1e-05
24,0.0232285
24,0.0
35,0.012573
35,0.0
47,0.0029735
30,0.00940442351001
40,0.0173000462265
3,0.389879276934
15,0.0
20,0.370803851292
26,0.0154836093337
43,0.0414718190067
47,0.2579585
23,0.0264565
27,0.0
42,0.0619982553142
46,0.370025
17,0.0
41,0.1258145
63,0.0
25,0.00653480410475

5-Fold RMSE:,0.187389171285,0.145881829056,0.202140825784,0.127674121233,0.127674121233
Average 5-Fold RMSE:,0.150381787632

5-Fold rsquared:,0.0091007606215,-21.5624313531,-0.140798538753,0.0340561569975,0.0340561569975
Average 5-Fold rsquared:,-4.37784708012
