roomPerimeter,rotError.std.std
824.277775057,0.00415768868333
909.128599512,0.0035425
883.283838598,0.00655641073759
602.61103687,0.0051905
651.012500721,0.006605
1075.51367261,0.0
537.162909983,0.0056375
343.406315926,0.00514110111625
655.096395443,0.4711185
864.15979835,0.520981324519
470.629120514,0.0
551.429068269,0.00461329826576
837.315270419,0.0
846.661098224,0.00678663190888
865.683726415,0.000102
349.485622363,0.002803
900.193877884,0.0297495
688.861804167,0.0
533.159488544,0.004725
1023.76949412,0.0
501.062394277,0.003115
1357.05101607,0.00955488046323
1113.23214774,0.0452229868072
789.405453777,0.265200879727
345.129490021,0.0
349.626511091,0.370361932929
506.227250231,0.0440903158374
623.087494685,0.0449257746967
498.214112703,0.3296775
551.960813093,0.015767
636.640571297,0.0
787.160481335,0.0520600178548
1173.67459887,0.46847
623.395444333,0.0
1588.62791478,0.126804
1208.95867135,0.0
1483.77049838,0.00888930742522

5-Fold RMSE:,0.15836801226,0.112486615975,0.0830516465674,0.253297774548,0.253297774548
Average 5-Fold RMSE:,0.149249540352

5-Fold rsquared:,-0.0827916758438,-0.096212238086,-0.0739446958484,-23.2347215422,-23.2347215422
Average 5-Fold rsquared:,-4.74096273082
