topology_radius,rotError.mean.std
4,0.0055707192085
4,0.005774
2,0.00612134232338
3,0.005801
2,0.010443
3,0.0
4,0.0071645
2,0.004242387086
3,0.454829
4,0.585340681631
3,0.0
4,0.00592653260066
4,0.0
3,0.00493682941438
3,0.000363
2,1e-05
3,0.0232285
4,0.0
3,0.012573
3,0.0
3,0.0029735
2,0.00940442351001
4,0.0173000462265
1,0.389879276934
3,0.0
2,0.370803851292
2,0.0154836093337
3,0.0414718190067
3,0.2579585
3,0.0264565
4,0.0
5,0.0619982553142
4,0.370025
2,0.0
4,0.1258145
5,0.0
4,0.00653480410475

5-Fold RMSE:,0.090208201161,0.242898404137,0.0947046963108,0.146933942724,0.146933942724
Average 5-Fold RMSE:,0.156642508961

5-Fold rsquared:,-0.355022962037,-3.02994977835,-1.02527122447,-0.141678695896,-0.141678695896
Average 5-Fold rsquared:,-8.75888574516
