roomPerimeter,rotError.std.mean
824.277775057,0.02798225
909.128599512,0.0320445
883.283838598,0.0178372
602.61103687,0.0199945
651.012500721,0.021598
1075.51367261,0.036893
537.162909983,0.0359985
343.406315926,0.01772125
655.096395443,0.5246775
864.15979835,0.385748
470.629120514,0.088337
551.429068269,0.0298306666667
837.315270419,0.022416
846.661098224,0.014809
865.683726415,0.008167
349.485622363,0.012435
900.193877884,0.0413675
688.861804167,0.02285
533.159488544,0.028219
1023.76949412,0.122708
501.062394277,0.020269
1357.05101607,0.023071
1113.23214774,0.0556182
789.405453777,0.805028666667
345.129490021,0.736744
349.626511091,0.348673666667
506.227250231,0.0636326
623.087494685,0.0959848888889
498.214112703,0.3574515
551.960813093,0.047268
636.640571297,0.997592
787.160481335,0.0586724
1173.67459887,0.546293
623.395444333,0.668596
1588.62791478,0.147273
1208.95867135,0.059187
1483.77049838,0.033395

5-Fold RMSE:,0.333454479826,0.240881895472,0.214528435815,0.22811954381,0.22811954381
Average 5-Fold RMSE:,0.259309891728

5-Fold rsquared:,-0.00738737699761,-0.192357402327,-210.126174845,-0.0582874715287,-0.0582874715287
Average 5-Fold rsquared:,-42.1929121151
