traversalTime,transError.mean.mean
951.22385554,0.77999825
750.178214424,0.737788
717.088483789,0.6111264
589.758911653,0.627088
874.938568522,0.895302
870.904226907,0.690067
870.931728251,0.6868825
550.763056801,0.7195855
492.886623007,6.0711005
656.952316561,7.747828
1371.34741951,1.066061
1187.28583886,0.880959666667
2035.82864252,1.110731
754.01694709,0.992162
205.223499199,0.806277
726.421235223,0.960523
786.534337607,0.95364
841.175649661,1.467048
731.103227949,1.3147815
897.190026783,1.60563
1173.06783952,1.28873
1069.35769226,1.08620766667
1006.22432177,0.873942
823.369821087,9.46907833333
183.023661923,5.437125
1001.59400158,5.458101
1342.9430314,1.9444218
1455.54715772,2.43944244444
1603.67256076,2.0359135
1367.57529848,2.2091805
520.067365763,16.189822
1567.27616653,2.9383338
1008.03211816,7.8686635
510.678711028,3.155217
1349.09985599,7.5462215
918.534020399,1.874993
1578.35836762,1.3166405

5-Fold RMSE:,5.88061720166,1.95050397963,2.35376094824,2.48314987005,2.48314987005
Average 5-Fold RMSE:,3.0188055834

5-Fold rsquared:,-0.00878941555602,-0.85442675366,-0.0394195059363,0.0166619595684,0.0166619595684
Average 5-Fold rsquared:,-0.180278099015
