voronoi_edges,transError.mean.mean
253,0.77999825
235,0.737788
255,0.6111264
170,0.627088
246,0.895302
232,0.690067
303,0.6868825
147,0.7195855
128,6.0711005
263,7.747828
337,1.066061
253,0.880959666667
651,1.110731
166,0.992162
24,0.806277
159,0.960523
195,0.95364
305,1.467048
295,1.3147815
287,1.60563
229,1.28873
279,1.08620766667
315,0.873942
297,9.46907833333
112,5.437125
155,5.458101
257,1.9444218
449,2.43944244444
285,2.0359135
321,2.2091805
193,16.189822
320,2.9383338
437,7.8686635
104,3.155217
264,7.5462215
562,1.874993
189,1.3166405

5-Fold RMSE:,1.88230858375,2.28776321784,3.59098396865,5.67852863781,5.67852863781
Average 5-Fold RMSE:,3.24180651499

5-Fold rsquared:,-0.293191038043,-0.170652825943,-0.034697206349,-0.769441300124,-0.769441300124
Average 5-Fold rsquared:,-0.26183618033
