voronoi_nodes,rotError.mean.std
250,0.0055707192085
230,0.005774
229,0.00612134232338
170,0.005801
243,0.010443
229,0.0
301,0.0071645
140,0.004242387086
129,0.454829
250,0.585340681631
337,0.0
253,0.00592653260066
640,0.0
159,0.00493682941438
22,0.000363
156,1e-05
194,0.0232285
291,0.0
281,0.012573
283,0.0
223,0.0029735
278,0.00940442351001
301,0.0173000462265
289,0.389879276934
113,0.0
154,0.370803851292
244,0.0154836093337
431,0.0414718190067
278,0.2579585
295,0.0264565
189,0.0
316,0.0619982553142
427,0.370025
105,0.0
256,0.1258145
530,0.0
190,0.00653480410475

5-Fold RMSE:,0.272818695615,0.091536435597,0.156113105679,0.0874524295865,0.0874524295865
Average 5-Fold RMSE:,0.147944710712

5-Fold rsquared:,-19.5357218962,-0.038419287037,-0.441559305207,-0.449943116226,-0.449943116226
Average 5-Fold rsquared:,-4.10592662262
