voronoi_std_eigenvector_centrality,rotError.numSamples.mean
0.0621418524861,8627.0
0.064562611159,15695.5
0.0655147896749,6140.2
0.0756944120562,4242.0
0.063736397957,6332.5
0.0655788298353,6329.0
0.0571208297746,5863.0
0.0795172592942,6086.75
0.0863325328339,357218.5
0.0625710750276,830942.333333
0.0539293297254,36389.0
0.0623255741929,15490.3333333
0.0393741635952,13796.0
0.0778171239841,12714.3333333
0.183177866246,7331.0
0.0788215763143,7723.5
0.0702204048489,25949.5
0.0583048887054,22338.0
0.0585601819606,24431.0
0.0588844988291,59670.0
0.0665140899304,13573.5
0.0595416486538,22022.0
0.0570370754118,32607.8
0.0583229555488,437301.0
0.092355006202,151082.0
0.0794001997108,114100.666667
0.0633224148962,35666.8
0.0480134270942,122499.666667
0.0594842394656,19129.5
0.057696329759,110106.5
0.0701124270704,1804313.0
0.0559140808964,225133.0
0.0480981747221,531998.0
0.095602752891,242087.0
0.061688422116,311884.0
0.0433166383751,65744.0
0.0718074587629,57460.5

5-Fold RMSE:,315994.333272,159248.047758,141650.533521,649748.564411,649748.564411
Average 5-Fold RMSE:,289050.546362

5-Fold rsquared:,-0.0662262530327,-0.514779688425,-1.17356646755,-0.923399821474,-0.923399821474
Average 5-Fold rsquared:,-0.550305830682
