topology_numBifurcationPoints,transError.numSamples.mean
8,8627.0
9,15695.5
3,6140.2
4,4242.0
6,6332.5
3,6329.0
15,5863.0
1,6086.75
5,357218.5
5,830942.333333
12,36389.0
7,15490.3333333
20,13796.0
3,12714.3333333
3,7331.0
4,7723.5
5,25949.5
5,22338.0
11,24431.0
7,59670.0
14,13573.5
3,22022.0
13,32607.8
0,437301.0
3,151082.0
2,114100.666667
5,35666.8
6,122499.666667
17,19129.5
5,110106.5
5,1804313.0
15,225133.0
10,531998.0
3,242087.0
12,311884.0
28,65744.0
3,57460.5

5-Fold RMSE:,147143.522486,270614.471976,638461.178209,207184.37989,207184.37989
Average 5-Fold RMSE:,282963.773681

5-Fold rsquared:,0.00591897344214,-0.0458553244228,-0.125371202864,-0.675694877693,-0.675694877693
Average 5-Fold rsquared:,-115.315213142
