avgRoomPerimeter,rotError.mean.std
707.007128463,0.0055707192085
758.966768091,0.005774
2161.19207626,0.00612134232338
630.451496107,0.005801
470.90808455,0.010443
844.944967104,0.0
120.176589697,0.0071645
294.819744545,0.004242387086
973.132170798,0.454829
1194.83545134,0.585340681631
191.601876363,0.0
248.223687618,0.00592653260066
112.337263592,0.0
1792.08753811,0.00493682941438
2075.92330798,0.000363
252.355785617,1e-05
1406.85593365,0.0232285
759.248936383,0.0
219.335679185,0.012573
855.595083334,0.0
108.968542951,0.0029735
1503.33670222,0.00940442351001
774.553634232,0.0173000462265
539.066583437,0.389879276934
529.397177254,0.0
252.559291854,0.370803851292
379.091758694,0.0154836093337
191.722481992,0.0414718190067
99.2869208384,0.2579585
575.918221531,0.0264565
555.98246505,0.0
351.259423682,0.0619982553142
650.998139899,0.370025
1344.71238759,0.0
1364.92084998,0.1258145
345.9363477,0.0
3522.51982697,0.00653480410475

5-Fold RMSE:,0.153401501119,0.127679896373,0.249659413491,0.0736642307164,0.0736642307164
Average 5-Fold RMSE:,0.146986226434

5-Fold rsquared:,-0.0846602611945,-0.0479608196075,-0.128238069617,-0.0190770362113,-0.0190770362113
Average 5-Fold rsquared:,-0.0932085724466
