totalTime,transError.numSamples.std
4665.975,1692.08022859
5137.1,3411.5
5690.54,2886.681652
2714.45,2356.0
4835.1,168.5
4832.8,0.0
4219.35,1162.0
5898.65,2768.629117
3627.9,332796.5
3827.43333333,1162326.40025
11510.1,0.0
5241.43333333,4484.43361963
10257.5,0.0
3827.56666667,4596.02468323
3620.7,6269.0
4229.35,4659.5
3313.3,23467.5
4822.6,0.0
3930.0,2134.0
3614.3,0.0
4227.2,3793.5
7469.7,25849.7467299
5687.44,27505.3824798
3623.2,164604.661684
2421.2,0.0
4828.66666667,116037.005748
7982.52,15605.2559274
8717.62222222,231363.029035
6334.0,8298.5
7562.0,59179.5
4829.8,0.0
7868.38,358042.389847
3315.1,489724.0
2415.4,0.0
9369.6,274071.0
4827.5,0.0
6338.1,56789.5485037

5-Fold RMSE:,108827.077606,98396.5008312,140159.941631,484298.730901,484298.730901
Average 5-Fold RMSE:,197194.812488

5-Fold rsquared:,-0.105982447199,-0.0305645441211,-0.037782523404,-1.86534232041,-1.86534232041
Average 5-Fold rsquared:,-0.497046140524
