voronoi_std_eigenvector_centrality,rotError.std.std
0.0621418524861,0.00415768868333
0.064562611159,0.0035425
0.0655147896749,0.00655641073759
0.0756944120562,0.0051905
0.063736397957,0.006605
0.0655788298353,0.0
0.0571208297746,0.0056375
0.0795172592942,0.00514110111625
0.0863325328339,0.4711185
0.0625710750276,0.520981324519
0.0539293297254,0.0
0.0623255741929,0.00461329826576
0.0393741635952,0.0
0.0778171239841,0.00678663190888
0.183177866246,0.000102
0.0788215763143,0.002803
0.0702204048489,0.0297495
0.0583048887054,0.0
0.0585601819606,0.004725
0.0588844988291,0.0
0.0665140899304,0.003115
0.0595416486538,0.00955488046323
0.0570370754118,0.0452229868072
0.0583229555488,0.265200879727
0.092355006202,0.0
0.0794001997108,0.370361932929
0.0633224148962,0.0440903158374
0.0480134270942,0.0449257746967
0.0594842394656,0.3296775
0.057696329759,0.015767
0.0701124270704,0.0
0.0559140808964,0.0520600178548
0.0480981747221,0.46847
0.095602752891,0.0
0.061688422116,0.126804
0.0433166383751,0.0
0.0718074587629,0.00888930742522

5-Fold RMSE:,0.251776844552,0.128555909259,0.100218422433,0.0875781294869,0.0875781294869
Average 5-Fold RMSE:,0.147077685824

5-Fold rsquared:,-0.090456903836,-0.157568717062,-2810.09896515,-1.38802452108,-1.38802452108
Average 5-Fold rsquared:,-562.422111984
