voronoi_std_katz_centrality,rotError.mean.mean
0.0631905584655,0.033056
0.0658075265519,0.022922
0.0657233059386,0.0119034
0.0755455798348,0.024416
0.0641495247308,0.022984
0.066034753817,0.026014
0.0575331907477,0.0385815
0.0841168072726,0.01411725
0.0879679595136,0.508538
0.062966882775,0.427206333333
0.0544424123813,0.027683
0.0628086114111,0.021869
0.0394800592855,0.025594
0.0788806200449,0.011314
0.204263905889,0.005875
0.0772516261558,0.008499
0.0713808637398,0.0364685
0.0586127538334,0.013377
0.0594085046862,0.025206
0.0592550204987,0.098742
0.0661008951017,0.0188725
0.0597913687418,0.0217106666667
0.0575400519371,0.0356654
0.0585913436971,0.710121333333
0.0939892490074,0.617859
0.0797494568412,0.347246
0.0637167667236,0.037768
0.048109504833,0.0542597777778
0.0598248730876,0.2879235
0.0581987476898,0.0488165
0.0725973866224,0.811734
0.0561712509096,0.061975
0.0483911660079,0.422134
0.0968684562829,0.415324
0.0624731549568,0.1402775
0.0434370069683,0.058548
0.0714572904211,0.02715275

5-Fold RMSE:,0.172019446362,0.296551805358,0.234739420524,0.337431558818,0.337431558818
Average 5-Fold RMSE:,0.23629619618

5-Fold rsquared:,-3.825825203,-0.0168641303673,-0.0140417792141,-0.0795193969789,-0.0795193969789
Average 5-Fold rsquared:,-0.793255442875
