perimeter,rotError.numSamples.mean
582.414195881,8627.0
574.390274931,15695.5
642.501394841,6140.2
396.724658884,4242.0
398.050280897,6332.5
629.847164937,6329.0
325.157616123,5863.0
161.46910584,6086.75
607.353417602,357218.5
623.982104305,830942.333333
413.568733758,36389.0
479.641424654,15490.3333333
383.710764507,13796.0
673.355919531,12714.3333333
798.372831181,7331.0
186.385475943,7723.5
609.954365264,25949.5
661.864870045,22338.0
243.197749682,24431.0
625.529006956,59670.0
175.184877189,13573.5
810.652971073,22022.0
791.247099826,32607.8
569.465956684,437301.0
301.700928702,151082.0
333.320883456,114100.666667
251.520417083,35666.8
266.853191731,122499.666667
277.253593842,19129.5
542.151199633,110106.5
523.504495381,1804313.0
462.202334131,225133.0
804.802666284,531998.0
577.749460923,242087.0
919.385854688,311884.0
687.006424965,65744.0
1411.67024864,57460.5

5-Fold RMSE:,263455.864903,153388.088218,662400.10259,132203.010761,132203.010761
Average 5-Fold RMSE:,276027.292985

5-Fold rsquared:,-0.285678556937,-15.2936696245,-0.38587257326,-0.0465114027664,-0.0465114027664
Average 5-Fold rsquared:,-3.24928594215
